No,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,追加
352,大東,海防艦,9,17,81,18,0,36,77,12,33,0,低速,短,10,10,,編集
352b,大東改,海防艦,18,35,90,36,0,61,85,28,37,0,低速,短,10,10,,編集
353,伊勢改二,改装航空戦艦,78,94,82,88,0,85,0,72,40,57,低速,中,110,145,,編集
354,日向改二,改装航空戦艦,78,94,83,86,0,84,85,75,40,57,低速,中,115,140,,編集
355,瑞鳳改二,軽空母,59,71,74,46,0,70,0,80,42,57,高速,中,40,45,,編集
356,浦風丁改,駆逐艦,33,53,88,62,80,76,88,48,18,0,高速,短,15,25,,編集
357,磯風乙改,駆逐艦,34,53,90,63,84,90,70,52,24,0,高速,短,15,25,2020/11/13メンテ後,編集
358,浜風乙改,駆逐艦,33,54,89,60,83,93,72,46,20,0,高速,短,15,25,2020/11/13メンテ後,編集
359,谷風丁改,駆逐艦,33,51,94,59,84,80,86,42,17,0,高速,短,15,25,,編集
360,瑞鳳改二乙,軽空母,59,72,67,48,0,88,48,77,42,50,高速,長,40,45,,編集
No.▲▼,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
361,Samuel B.Roberts,駆逐艦,14,17,80,24,38,40,80,20,30,0,低速,短,15,20,,編集
361b,Samuel B.Roberts改,駆逐艦,27,43,88,50,70,60,88,48,40,0,低速,短,15,20,,編集
362,Johnston,駆逐艦,17,20,81,32,60,60,82,32,17,0,高速,短,20,20,,編集
362b,Johnston改,駆逐艦,34,52,89,55,72,90,90,60,40,0,高速,短,20,20,,編集
363,巻雲改二,駆逐艦,33,53,89,64,90,65,72,43,16,0,高速,短,15,20,,編集
364,風雲改二,駆逐艦,33,53,92,66,89,67,78,45,20,0,高速,短,15,20,,編集
365,福江,海防艦,9,16,84,16,0,28,72,13,36,0,低速,短,10,10,,編集
365b,福江改,海防艦,17,34,92,35,0,55,80,27,40,0,低速,短,10,10,,編集
366,陽炎改二,駆逐艦,33,53,90,68,90,62,67,42,20,0,高速,短,15,20,,編集
367,不知火改二,駆逐艦,33,54,90,67,91,64,68,43,24,0,高速,短,15,20,,編集
368,黒潮改二,駆逐艦,33,53,90,69,88,65,70,41,22,0,高速,短,15,20,,編集
369,沖波改二,駆逐艦,33,53,93,65,87,71,79,44,22,0,高速,短,15,20,,編集
370,平戸,海防艦,9,16,82,18,0,28,74,15,11,0,低速,短,10,10,,編集
370b,平戸改,海防艦,17,33,89,37,0,55,81,29,14,0,低速,短,10,10,,編集
371,Nelson,戦艦,82,92,44,102,0,82,0,42,24,5,低速,長,95,145,,編集
372,,,,,,,,,,,,,,,,,,編集
373,陸奥改二,戦艦,91,109,71,118,0,102,0,56,16,15,低速,長,180,225,,編集
374,Gotland,軽(航空)巡洋艦,32,46,68,48,68,58,58,70,20,11,高速,中,30,25,,編集
375,Maestrale,駆逐艦,15,18,82,27,58,41,60,20,14,0,高速,短,15,20,,編集
376,Nelson改,戦艦,93,104,58,114,0,92,0,48,28,6,低速,長,95,175,,編集
377,,,,,,,,,,,,,,,,,,編集
378,朝霜改二,駆逐艦,33,53,94,68,88,72,76,43,28,0,高速,短,15,20,2020/11/13メンテ後,編集
379,Gotland改,軽巡洋艦,43,63,77,62,70,102,62,55,24,4,高速,中,30,30,,編集
380,Maestrale改,駆逐艦,29,50,93,54,72,63,80,46,17,0,高速,短,15,20,,編集
No.▲▼,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
381,日進,水上機母艦,45,45,45,46,40,48,0,80,9,28,高速,中,40,40,,編集
381b,日進改,水上機母艦,47,46,58,54,75,62,0,95,10,28,高速,中,40,40,,編集
382,,,,,,,,,,,,,,,,,,編集
383,峯雲,駆逐艦,16,19,78,30,69,40,49,18,6,0,高速,短,15,20,,編集
383b,峯雲改,駆逐艦,31,49,88,51,79,50,58,37,9,0,高速,短,15,20,,編集
384,八丈,海防艦,9,16,83,18,0,24,72,13,40,0,低速,短,10,10,,編集
384b,八丈改,海防艦,17,33,93,35,0,54,76,29,49,0,低速,短,10,10,,編集
385,石垣,海防艦,9,16,82,20,0,22,75,15,9,0,低速,短,10,10,,編集
385b,石垣改,海防艦,17,33,92,37,0,52,79,30,10,0,低速,短,10,10,,編集
386,日進甲,水上機母艦,49,47,63,60,88,65,0,96,10,32,高速,中,40,45,,編集
387,海風改二,駆逐艦,31,51,90,61,93,69,82,51,20,0,高速,短,15,20,,編集
388,山風改二,駆逐艦,30,50,87,60,95,63,86,41,10,0,高速,短,15,20,,編集
389,L.d.S.D.d.Abruzzi,軽巡洋艦,37,51,64,51,66,60,39,41,20,6,高速,中,40,50,,編集
389b,L.d.S.D.d.Abruzzi改,軽巡洋艦,52,75,77,73,70,70,59,49,30,8,高速,中,40,55,,編集
390,G.Garibaldi,軽巡洋艦,37,51,65,50,66,60,40,40,20,6,高速,中,40,50,,編集
390b,G.Garibaldi改,軽巡洋艦,52,75,78,72,70,70,60,48,30,8,高速,中,40,55,,編集
391,金剛改二丙,高速戦艦,86,91,75,99,44,89,0,51,18,13,高速,長,100,160,,編集
392,比叡改二丙,高速戦艦,86,90,73,98,47,85,0,53,15,8,高速,長,100,160,,編集
393,,,,,,,,,,,,,,,,,,編集
394,,,,,,,,,,,,,,,,,,編集
395,Houston,重巡洋艦,43,47,60,52,40,60,0,50,12,6,高速,中,40,60,,編集
396,Fletcher,駆逐艦,18,20,82,31,60,62,83,33,30,0,高速,短,20,20,,編集
396b,Fletcher改,駆逐艦,35,52,90,54,72,91,91,62,40,0,高速,短,20,20,,編集
397,Atlanta,防空巡洋艦,27,29,67,38,66,120,20,40,17,0,高速,短,30,50,,編集
397b,Atlanta改,防空巡洋艦,41,61,76,64,70,128,32,50,18,0,高速,短,30,60,,編集
398,Honolulu,軽巡洋艦,38,39,66,59,34,70,35,65,15,4,高速,中,35,55,,編集
398b,Honolulu改,軽巡洋艦,53,67,79,77,40,80,43,76,27,6,高速,中,35,60,,編集
399,De Ruyter,軽巡洋艦,28,31,68,50,50,70,40,42,9,4,高速,中,30,35,,編集
399b,De Ruyter改,軽巡洋艦,43,67,73,70,60,75,50,55,10,5,高速,中,30,40,,編集
400,Houston改,重巡洋艦,54,73,76,76,60,75,0,53,20,7,高速,中,40,65,,編集
No.▲▼,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
401,Colorado,戦艦,77,90,43,96,0,90,0,37,30,3,低速,長,90,130,,編集
402,South Dakota,戦艦,79,93,59,100,0,91,0,48,20,6,高速,長,150,190,,編集
403,Hornet,正規空母,67,65,57,45,0,72,0,70,28,87,高速,中,60,65,,編集
403b,Hornet改,正規空母,81,84,73,55,0,86,0,90,30,90,高速,中,70,80,,編集
404,赤城改二,正規空母,81,81,73,60,0,85,0,91,20,90,高速,中,95,90,,編集
405,加賀改二,正規空母,84,80,70,56,0,84,0,90,18,99,高速,中,100,95,,編集
406,Colorado改,戦艦,91,99,54,105,0,100,0,52,40,5,低速,長,95,165,,編集
407,South Dakota改,戦艦,91,108,65,109,0,108,0,60,36,8,高速,長,160,200,,編集
408,宗谷,特務艦,22,35,77,9,0,32,32,2,55,0,低速,短,20,10,,編集
409,赤城改二戊,正規空母,81,81,75,67,0,84,0,90,20,78,高速,中,95,85,,編集
410,加賀改二戊,正規空母,84,80,71,62,0,84,0,89,18,86,高速,中,100,95,,編集
411,御蔵,海防艦,9,16,80,17,0,36,78,14,12,0,低速,短,10,10,,編集
412,屋代,海防艦,9,16,81,16,0,37,79,15,20,0,低速,短,10,10,,編集
413,Perth,軽巡洋艦,29,32,67,58,54,66,50,40,12,3,高速,中,30,45,,編集
414,Grecale,駆逐艦,15,18,84,26,57,40,60,20,14,0,高速,短,15,20,,編集
415,Helena,軽巡洋艦,39,40,65,60,32,72,36,64,9,4,高速,中,35,55,,編集
416,御蔵改,海防艦,17,33,89,37,0,60,84,29,15,0,低速,短,10,10,,編集
417,屋代改,海防艦,17,33,90,36,0,62,85,30,30,0,低速,短,10,10,,編集
418,Perth改,軽巡洋艦,45,68,72,72,72,70,55,50,22,3,高速,中,30,45,,編集
419,Grecale改,駆逐艦,29,51,95,55,68,80,79,46,40,0,高速,短,15,20,,編集
420,Helena改,軽巡洋艦,53,69,75,78,38,86,40,76,13,6,高速,中,35,60,,編集
No.▲▼,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
421,神州丸,揚陸艦,37,35,38,22,0,32,40,52,14,12,低速,短,35,5,,編集
422,夕張改二,兵装実験軽巡,41,65,83,56,80,88,83,52,30,0,高速,短,30,40,,編集
423,夕張改二特,兵装実験軽巡,41,66,81,56,88,78,70,50,30,0,低速,短,30,40,,編集
424,夕張改二丁,兵装実験軽巡,41,64,85,56,80,78,89,54,30,0,高速,短,30,40,,編集
425,秋霜,駆逐艦,16,19,81,30,69,40,53,20,11,0,高速,短,15,20,,編集
425b,秋霜改,駆逐艦,32,49,91,50,80,50,68,43,12,0,高速,短,15,20,,編集
426,神州丸改,揚陸艦,39,45,48,36,0,46,48,58,18,16,低速,短,40,20,2020/11/13メンテ後,編集
427,敷波改二,駆逐艦,31,51,93,61,88,62,79,48,30,0,高速,短,15,20,,編集
428,Fletcher改 Mod.2,駆逐艦,37,54,92,60,86,92,93,64,47,0,高速,短,20,25,,編集
429,Fletcher Mk.II,駆逐艦,38,56,94,62,82,95,97,66,47,0,高速,短,25,25,,編集
430,Gotland andra,軽(航空)巡洋艦,47,67,78,60,73,90,60,72,26,14,高速,中,30,35,,編集
431,薄雲,駆逐艦,15,19,80,29,69,39,49,19,7,0,高速,短,15,20,,編集
431b,薄雲改,駆逐艦,30,49,89,49,79,48,60,41,9,0,高速,短,15,20,,編集
432,有明,駆逐艦,16,19,80,29,70,38,50,19,10,0,高速,短,15,20,,編集
432b,有明改,駆逐艦,30,49,89,48,78,54,59,39,12,0,高速,短,15,20,,編集
433,,,,,,,,,,,,,,,,,,編集
434,迅鯨,潜水母艦,32,28,28,32,0,32,0,38,11,2,低速,中,30,10,,編集
435,長鯨,潜水母艦,31,28,30,31,0,33,0,37,17,2,低速,中,30,10,,編集
436,伊47,潜水艦,14,20,39,8,72,0,0,27,47,0,低速,短,10,20,,編集
436b,伊47改,潜水艦,18,21,50,12,88,0,0,30,50,0,低速,短,10,25,,編集
437,第四号海防艦,海防艦,8,15,79,15,0,19,67,11,18,0,低速,短,10,10,,編集
437b,第四号海防艦改,海防艦,15,29,91,28,0,41,76,20,20,0,低速,短,10,10,,編集
438,第三〇号海防艦,海防艦,9,15,77,15,0,21,65,11,17,0,低速,短,10,10,,編集
438b,第三〇号海防艦改,海防艦,15,28,89,28,0,45,74,19,20,0,低速,短,10,10,,編集
439,迅鯨改,潜水母艦,38,34,39,40,0,34,0,44,16,6,低速,中,30,10,,編集
440,長鯨改,潜水母艦,37,34,44,39,0,36,0,43,20,6,低速,中,30,10,,編集
No.▲▼,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
441,松,駆逐艦,14,22,70,26,60,60,75,25,14,0,高速,短,15,15,,編集
441b,松改,駆逐艦,27,55,83,43,72,74,80,45,18,0,高速,短,15,15,,編集
442,竹,駆逐艦,14,22,71,25,79,58,74,24,28,0,高速,短,15,15,,編集
442b,竹改,駆逐艦,26,54,83,42,98,71,79,43,38,0,高速,短,15,15,,編集
443,,,,,,,,,,,,,,,,,,編集
444,桃,駆逐艦,14,22,69,23,57,61,76,24,8,0,高速,短,15,15,,編集
444b,桃改,駆逐艦,26,55,82,41,71,77,81,43,11,0,高速,短,15,15,,編集
445,宗谷(灯台補給船),灯台補給船,23,40,79,1,0,0,2,18,65,0,低速,短,20,5,,編集
446,加賀改二護,正規空母,84,84,68,60,0,84,84,93,18,64,高速,中,105,105,,編集
447,,,,,,,,,,,,,,,,,,編集
448,秋雲改二,駆逐艦,33,53,91,65,91,64,75,42,18,0,高速,短,15,20,,編集
449,高波改二,駆逐艦,33,53,90,68,86,62,72,58,12,0,高速,短,15,20,,編集
450,宗谷(南極観測船),南極観測船,26,62,88,1,0,0,4,32,77,6,低速,短,25,5,,編集
451,丹陽,駆逐艦,35,60,97,68,56,88,60,50,60,0,高速,短,15,20,,編集
452,球磨改二,軽巡洋艦,46,70,82,70,92,80,80,58,16,3,高速,短,25,35,,編集
453,Scirocco,駆逐艦,15,18,81,27,58,41,60,20,9,0,高速,短,15,20,,編集
453b,Scirocco改,駆逐艦,28,50,92,55,72,63,80,46,13,0,高速,短,15,20,,編集
454,Washington,戦艦,81,91,59,99,0,91,0,46,24,6,高速,長,140,190,,編集
455,Northampton,重巡洋艦,44,47,61,51,44,62,0,51,10,6,高速,中,40,60,,編集
456,雪風改二,駆逐艦,35,60,100,66,90,85,74,48,63,0,高速,短,15,25,,編集
457,球磨改二丁,軽巡洋艦,46,70,81,67,84,84,84,53,16,0,高速,短,25,35,,編集
458,Gambier Bay Mk.II,改装特務空母,53,61,63,55,0,67,77,70,16,49,低速,短,30,40,,編集
459,Washington改,戦艦,93,104,66,107,0,106,0,62,38,8,高速,長,150,195,,編集
460,Northampton改,重巡洋艦,55,73,75,75,65,78,0,52,12,7,高速,中,40,65,,編集
No.▲▼,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
461,,,,,,,,,,,,,,,,,,編集
462,能代改二,軽巡洋艦,53,72,83,78,86,82,84,61,13,8,高速,中,35,45,,編集
463,矢矧改二,軽巡洋艦,54,73,88,78,89,80,83,60,17,8,高速,中,40,45,,編集
464,,,,,,,,,,,,,,,,,,編集
465,曙改二,駆逐艦,31,54,91,60,87,80,74,46,18,0,高速,短,15,20,,編集
466,,,,,,,,,,,,,,,,,,編集
467,山風改二丁,駆逐艦,30,51,85,60,84,66,82,41,10,0,高速,短,15,20,,編集
468,矢矧改二乙,軽巡洋艦,53,74,86,81,88,88,80,60,17,6,高速,中,45,50,,編集
469,,,,,,,,,,,,,,,,,,編集
470,親潮改二,駆逐艦,33,54,90,68,89,66,69,42,21,0,高速,短,15,20,,編集
471,巻波,駆逐艦,16,19,77,32,68,46,54,23,8,0,高速,短,15,20,,編集
471b,巻波改,駆逐艦,32,49,85,53,81,56,66,54,9,0,高速,短,15,20,,編集
472,,,,,,,,,,,,,,,,,,編集
473,,,,,,,,,,,,,,,,,,編集
474,,,,,,,,,,,,,,,,,,編集
475,涼波,駆逐艦,16,19,74,32,69,41,55,22,6,0,高速,短,15,20,,編集
475b,涼波改,駆逐艦,32,48,79,52,82,54,69,54,7,0,高速,短,15,20,,編集
476,,,,,,,,,,,,,,,,,,編集
477,Conte di Cavour,戦艦,57,67,40,75,12,49,0,29,22,5,低速,長,70,105,,編集
478,Conte di Cavour改,戦艦,73,87,67,91,0,76,0,40,23,2,高速,長,75,110,,編集
479,Conte di Cavour nuovo,戦艦,78,91,70,95,30,90,0,58,24,9,高速,長,85,115,,編集
480,,,,,,,,,,,,,,,,,,編集
No.▲▼,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
481,,,,,,,,,,,,,,,,,,編集
482,伊203,潜水艦,12,16,70,3,64,5,0,38,23,0,低速,短,15,15,,編集
483,龍鳳改二戊,軽空母,61,73,79,45,0,72,50,77,42,57,低速,中,40,50,,編集
484,雲鷹,軽空母,39,35,--,13,0,29,--,--,8,27,低速,短,30,25,,編集
484b,雲鷹改,軽空母,47,52,--,24,0,46,--,--,10,37,低速,短,30,30,,編集
485,Victorious,装甲空母,59,80,58,38,0,77,0,73,10,49,高速,短,65,55,,編集
485b,Victorious改,装甲空母,74,85,67,55,0,84,0,85,22,57,高速,中,75,65,,編集
486,,,,,,,,,,,,,,,,,,編集
487,伊203改,潜水艦,13,18,80,4,69,5,0,48,24,0,低速,短,20,20,,編集
488,龍鳳改二,軽空母,63,74,75,47,0,81,46,80,42,62,高速,中,60,60,,編集
489,雲鷹改二,軽空母,49,55,--,39,0,57,--,--,15,41,低速,中,35,35,,編集
490,,,,,,,,,,,,,,,,,,編集
491,,,,,,,,,,,,,,,,,,編集
492,,,,,,,,,,,,,,,,,,編集
493,Scamp,潜水艦,13,20,43,11,73,0,0,41,11,0,低速,短,10,20,,編集
493b,Scamp改,潜水艦,17,23,55,13,82,0,0,43,17,0,低速,短,10,20,,編集
494,,,,,,,,,,,,,,,,,,編集
495,昭南,海防艦,9,17,82,18,0,38,76,14,9,0,低速,短,10,10,,編集
495b,昭南改,海防艦,18,34,88,37,0,63,81,28,12,0,低速,短,10,10,,編集
496,,,,,,,,,,,,,,,,,,編集
497,,,,,,,,,,,,,,,,,,編集
498,,,,,,,,,,,,,,,,,,編集
499,,,,,,,,,,,,,,,,,,編集
500,,,,,,,,,,,,,,,,,,編集
No.▲,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
---,イオナ,潜水艦,70,99,69,129,129,59,0,69,50,0,高速,長,150,150,Lv99?期間限定,編集
---,タカオ,重巡洋艦,77,109,59,139,79,69,0,79,20,0,高速,長,175,200,Lv99?期間限定,編集
---,ハルナ,戦艦,102,119,49,149,0,79,0,89,30,0,高速,超長,200,275,期間限定,編集
